time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451000000	11.2572	21.0306	4.84883	3.1857	0.596032	lidar	21491	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0023	20.9924	4.86266	3.22526	0.606821	radar	7145.68	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7929	20.9541	4.81057	3.26084	0.613679	lidar	20886.3	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5455	20.9521	4.7984	3.26823	0.570841	radar	7389.15	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2649	20.9792	4.87372	3.27306	0.544064	lidar	20777.4	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0264	20.9605	4.86848	3.29258	0.533786	radar	7445.18	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83339	20.9207	4.79822	3.32134	0.537804	lidar	20280.2	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60105	20.9108	4.76159	3.322	0.49152	radar	7260.32	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40838	20.8582	4.70026	3.35177	0.498417	lidar	19789.3	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18813	20.8164	4.6885	3.374	0.496612	radar	7254.88	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8947	20.7849	4.78663	3.3841	0.479102	lidar	19131.2	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68077	20.7057	4.76482	3.4181	0.491962	radar	6822.63	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40393	20.6221	4.83834	3.44403	0.491769	lidar	18308.8	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17574	20.5422	4.84177	3.47253	0.498493	radar	6931.05	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.933	20.4622	4.86364	3.49527	0.495753	lidar	18058	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71693	20.3762	4.86743	3.52726	0.512807	radar	7033.1	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40762	20.3182	4.98432	3.52819	0.484554	lidar	17565.2	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17609	20.2217	4.98118	3.55019	0.479323	radar	6696.21	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91105	20.139	5.031	3.56174	0.46535	lidar	17061.6	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68633	20.0473	5.01273	3.57792	0.45399	radar	6707.91	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43801	19.956	5.03968	3.59095	0.443402	lidar	16591.1	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
